,ride_id,tourOrigin,tourDestination,lat,lng,accuracy,remDistance,elevation,heading,timeStamp,actual_eta
0,Ride_1,Praha,Homburg,50.074452,14.402994,1,608,197.690994263,NNW,2018-01-25T19:11:04.157Z,22.51
1,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T19:45:44.957Z,21.93
2,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T20:16:00.557Z,21.43
3,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T20:49:40.157Z,20.87
4,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T21:25:42.557Z,20.27
5,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T22:06:30.557Z,19.59
6,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T22:37:47.357Z,19.07
7,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T23:12:07.757Z,18.5
8,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-25T23:45:47.357Z,17.94
9,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-26T00:18:25.757Z,17.4
10,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-26T00:54:48.557Z,16.79
11,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-26T01:22:41.357Z,16.33
12,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-26T01:52:16.157Z,15.84
13,Ride_1,Praha,Homburg,50.067922,14.333686,1,602,281.583648682,W,2018-01-26T02:28:59.357Z,15.23
14,Ride_1,Praha,Homburg,50.05152,14.29148,0,597,385.523345947,WSW,2018-01-26T03:06:43.757Z,14.6
15,Ride_1,Praha,Homburg,49.913135,13.989531,4,570,253.637298584,SW,2018-01-26T03:35:58.157Z,14.11
16,Ride_1,Praha,Homburg,49.739544,13.530825,4,530,438.76675415,WSW,2018-01-26T04:09:37.757Z,13.55
17,Ride_1,Praha,Homburg,49.705645,13.286756,2,507,328.422515869,WSW,2018-01-26T04:49:44.957Z,12.88
18,Ride_1,Praha,Homburg,49.737097,12.857743,4,474,536.17956543,W,2018-01-26T05:28:50.957Z,12.23
19,Ride_1,Praha,Homburg,49.633158,12.461284,4,440,510.001342773,WSW,2018-01-26T06:06:35.357Z,11.6
20,Ride_1,Praha,Homburg,49.532373,12.189197,4,414,410.113250732,WSW,2018-01-26T06:33:47.357Z,11.15
21,Ride_1,Praha,Homburg,49.397987,11.962765,3,390,396.56149292,SW,2018-01-26T07:03:01.757Z,10.66
22,Ride_1,Praha,Homburg,49.420356,11.62417,4,363,583.42175293,W,2018-01-26T07:37:22.157Z,10.09
23,Ride_1,Praha,Homburg,49.402497,11.291338,4,337,414.3019104,W,2018-01-26T08:07:37.757Z,9.59
24,Ride_1,Praha,Homburg,49.315482,10.884115,1,304,438.235687256,WSW,2018-01-26T08:41:17.357Z,9.03
25,Ride_1,Praha,Homburg,49.255184,10.434097,3,268,432.031219482,WSW,2018-01-26T09:19:01.757Z,8.4
26,Ride_1,Praha,Homburg,49.19983,10.12875,0,244,462.604248047,WSW,2018-01-26T09:55:24.557Z,7.79
27,Ride_1,Praha,Homburg,49.180608,9.772343,1,217,435.119476318,W,2018-01-26T10:23:37.757Z,7.32
28,Ride_1,Praha,Homburg,49.168137,9.376211,3,185,250.263565063,W,2018-01-26T10:55:55.757Z,6.78
