,Unnamed: 0,ride_id,tourOrigin,tourDestination,lat,lng,accuracy,remDistance,elevation,heading,timeStamp,actual_eta,timeStamp_date
0,12,Ride_1,Praha,Homburg,50.074452,14.402994,5,608,197.690994263,N,2018-01-26T01:52:16.157Z,15.84,2018-01-26 01:52:16.157
1,13,Ride_1,Praha,Homburg,50.067921999999996,14.333685999999998,1,602,281.583648682,W,2018-01-26T02:28:59.357Z,15.23,2018-01-26 02:28:59.357
2,14,Ride_1,Praha,Homburg,50.051520000000004,14.291479999999998,0,597,385.523345947,WSW,2018-01-26T03:06:43.757Z,14.6,2018-01-26 03:06:43.757
3,15,Ride_1,Praha,Homburg,49.913135,13.989531,4,570,253.637298584,SW,2018-01-26T03:35:58.157Z,14.11,2018-01-26 03:35:58.157
4,16,Ride_1,Praha,Homburg,49.739544,13.530825,4,530,438.76675415,WSW,2018-01-26T04:09:37.757Z,13.55,2018-01-26 04:09:37.757
5,17,Ride_1,Praha,Homburg,49.705645000000004,13.286756,2,507,328.422515869,WSW,2018-01-26T04:49:44.957Z,12.88,2018-01-26 04:49:44.957
6,18,Ride_1,Praha,Homburg,49.737097,12.857743,4,474,536.17956543,W,2018-01-26T05:28:50.957Z,12.23,2018-01-26 05:28:50.957
7,19,Ride_1,Praha,Homburg,49.633158,12.461284,4,440,510.00134277300003,WSW,2018-01-26T06:06:35.357Z,11.6,2018-01-26 06:06:35.357
8,20,Ride_1,Praha,Homburg,49.532373,12.189197,4,414,410.113250732,WSW,2018-01-26T06:33:47.357Z,11.15,2018-01-26 06:33:47.357
9,21,Ride_1,Praha,Homburg,49.397987,11.962765,3,390,396.56149292,SW,2018-01-26T07:03:01.757Z,10.66,2018-01-26 07:03:01.757
10,22,Ride_1,Praha,Homburg,49.420356,11.62417,4,363,583.42175293,W,2018-01-26T07:37:22.157Z,10.09,2018-01-26 07:37:22.157
11,23,Ride_1,Praha,Homburg,49.402497,11.291338,4,337,414.3019104,W,2018-01-26T08:07:37.757Z,9.59,2018-01-26 08:07:37.757
12,24,Ride_1,Praha,Homburg,49.315482,10.884115,1,304,438.235687256,WSW,2018-01-26T08:41:17.357Z,9.03,2018-01-26 08:41:17.357
13,25,Ride_1,Praha,Homburg,49.255184,10.434097,3,268,432.031219482,WSW,2018-01-26T09:19:01.757Z,8.4,2018-01-26 09:19:01.757
14,26,Ride_1,Praha,Homburg,49.19983,10.12875,0,244,462.60424804699994,WSW,2018-01-26T09:55:24.557Z,7.79,2018-01-26 09:55:24.557
15,27,Ride_1,Praha,Homburg,49.180608,9.772343,1,217,435.119476318,W,2018-01-26T10:23:37.757Z,7.32,2018-01-26 10:23:37.757
16,28,Ride_1,Praha,Homburg,49.168137,9.376211,3,185,250.263565063,W,2018-01-26T10:55:55.757Z,6.78,2018-01-26 10:55:55.757
17,33,Ride_1,Praha,Homburg,49.225838,8.944737,5,151,226.312179565,N,2018-01-26T13:45:35.357Z,3.95,2018-01-26 13:45:35.357
18,34,Ride_1,Praha,Homburg,49.265895,8.794916,3,139,186.255386353,WNW,2018-01-26T14:26:02.957Z,3.28,2018-01-26 14:26:02.957
19,35,Ride_1,Praha,Homburg,49.31817,8.57283,0,121,104.18801116899999,WNW,2018-01-26T14:57:19.757Z,2.76,2018-01-26 14:57:19.757
20,36,Ride_1,Praha,Homburg,49.428104,8.334651,4,95,96.1899414062,NW,2018-01-26T15:29:17.357Z,2.23,2018-01-26 15:29:17.357
21,37,Ride_1,Praha,Homburg,49.533352,8.105283,1,64,294.637756348,NW,2018-01-26T16:01:55.757Z,1.69,2018-01-26 16:01:55.757
22,38,Ride_1,Praha,Homburg,49.46157,7.78432,0,38,308.091888428,WSW,2018-01-26T16:31:50.957Z,1.19,2018-01-26 16:31:50.957
23,39,Ride_1,Praha,Homburg,49.38218,7.42342,0,13,234.815673828,WSW,2018-01-26T17:03:48.557Z,0.66,2018-01-26 17:03:48.557
24,40,Ride_1,Praha,Homburg,49.328531,7.333075999999999,1,1,249.246383667,SW,2018-01-26T17:37:28.157Z,0.1,2018-01-26 17:37:28.157
25,41,Ride_3,Praha,Homburg,50.075873,14.417974,2,609,204.40856933599997,NE,2018-01-25T19:40:50.357Z,18.26,2018-01-25 19:40:50.357
26,42,Ride_3,Praha,Homburg,50.055714,14.335920000000002,1,601,339.39929199200003,WSW,2018-01-25T20:19:56.357Z,17.61,2018-01-25 20:19:56.357
27,43,Ride_3,Praha,Homburg,49.929592,14.014973000000001,3,572,242.15203857400002,WSW,2018-01-25T20:51:33.557Z,17.08,2018-01-25 20:51:33.557
28,44,Ride_3,Praha,Homburg,49.747005,13.553631,1,532,381.28057861300005,WSW,2018-01-25T21:20:47.957Z,16.59,2018-01-25 21:20:47.957
29,45,Ride_3,Praha,Homburg,49.690975,13.297669,3,509,345.40661621099997,WSW,2018-01-25T21:57:31.157Z,15.98,2018-01-25 21:57:31.157
30,46,Ride_3,Praha,Homburg,49.726109,12.887172,4,477,502.09472656199995,W,2018-01-25T22:30:29.957Z,15.43,2018-01-25 22:30:29.957
31,47,Ride_3,Praha,Homburg,49.635154,12.479919,2,441,509.490203857,WSW,2018-01-25T23:07:33.557Z,14.81,2018-01-25 23:07:33.557
32,56,Ride_3,Praha,Homburg,49.547499,12.193694,5,416,444.77185058599997,N,2018-01-26T04:27:50.357Z,9.47,2018-01-26 04:27:50.357
33,57,Ride_3,Praha,Homburg,49.463419,12.134576,3,405,519.603210449,SSW,2018-01-26T05:00:49.157Z,8.92,2018-01-26 05:00:49.157
34,58,Ride_3,Praha,Homburg,49.4008,11.979383,2,391,386.68344116199995,WSW,2018-01-26T05:30:23.957Z,8.43,2018-01-26 05:30:23.957
35,59,Ride_3,Praha,Homburg,49.427465000000005,11.639116,2,365,615.2505493159999,W,2018-01-26T06:07:27.557Z,7.81,2018-01-26 06:07:27.557
36,60,Ride_3,Praha,Homburg,49.407140000000005,11.314,0,339,402.27801513699995,W,2018-01-26T06:47:55.157Z,7.14,2018-01-26 06:47:55.157
37,61,Ride_3,Praha,Homburg,49.303492,10.926086999999999,1,307,409.43359375,WSW,2018-01-26T07:22:35.957Z,6.56,2018-01-26 07:22:35.957
38,62,Ride_3,Praha,Homburg,49.249638,10.459171000000001,3,270,423.021209717,W,2018-01-26T07:50:08.357Z,6.1,2018-01-26 07:50:08.357
