,tourorigin,tourdestination,orig_dest,name,tourno,starttime,endtime,truckid,initial_distance,last_recorded_distance_at_end
0,Basel,Eindhoven Airport,Basel-Eindhoven Airport,Truck 2,3700,2018-01-25 17:53:28.877,2018-01-26 11:36:39.677,2,597,1
1,Basel,Eindhoven Airport,Basel-Eindhoven Airport,Truck 2,3702,2018-01-25 18:06:23.318,2018-01-26 12:24:55.718,2,623,131
2,Basel,Kornwestheim,Basel-Kornwestheim,Truck 1,3600,2018-01-25 17:51:49.681,2018-01-25 22:24:10.081,1,239,7
3,Basel,Kornwestheim,Basel-Kornwestheim,Truck 1,3602,2018-01-25 18:08:13.934,2018-01-25 22:55:52.334,1,257,4
4,Basel,Kornwestheim,Basel-Kornwestheim,Truck 1,3700,2018-01-25 18:00:37.271,2018-01-25 22:17:19.271,1,229,3
5,Basel,Kornwestheim,Basel-Kornwestheim,Truck 1,3702,2018-01-25 20:32:13.050,2018-01-26 03:52:31.050,1,261,4
6,Basel,Kornwestheim,Basel-Kornwestheim,Truck 1,3704,2018-01-25 18:04:00.894,2018-01-25 23:15:06.894,1,253,3
7,Basel,Kornwestheim,Basel-Kornwestheim,Truck 1,3706,2018-01-25 18:12:05.449,2018-01-25 22:48:51.049,1,258,30
8,Basel,London,Basel-London,Truck 0,4701,2018-02-11 19:21:25.632,2018-02-13 04:20:13.632,0,897,0
9,Basel,London,Basel-London,Truck 0,4703,2018-02-11 19:56:14.363,2018-02-12 22:30:29.963,0,899,1
10,Basel,London,Basel-London,Truck 0,4705,2018-02-11 20:50:58.210,2018-02-13 00:40:01.810,0,865,2
11,Basel,London,Basel-London,Truck 0,4707,2018-02-11 19:56:29.291,2018-02-12 19:49:14.891,0,858,1
12,Basel,London,Basel-London,Truck 0,4709,2018-02-11 20:08:33.919,2018-02-13 09:45:08.719,0,935,1
13,Basel,London,Basel-London,Truck 0,4711,2018-02-11 20:29:35.758,2018-02-12 23:29:41.758,0,926,1
14,Basel,London,Basel-London,Truck 0,4713,2018-02-11 20:50:07.622,2018-02-13 01:36:59.222,0,925,1
15,Basel,London,Basel-London,Truck 0,4715,2018-02-11 21:14:24.769,2018-02-13 03:50:45.169,0,858,1
16,Basel,London,Basel-London,Truck 0,4717,2018-02-11 21:29:07.885,2018-02-12 15:56:30.685,0,925,384
17,Basel,Praha,Basel-Praha,Truck 0,3800,2018-01-25 18:00:17.057,2018-01-26 12:31:24.257,0,694,96
18,Basel,Sofia,Basel-Sofia,Truck 4,4701,2018-02-11 19:06:20.151,2018-02-14 06:27:09.351,4,1736,1
19,Basel,Sofia,Basel-Sofia,Truck 4,4703,2018-02-11 19:45:24.670,2018-02-14 20:18:25.870,4,1740,1
20,Basel,Sofia,Basel-Sofia,Truck 4,4705,2018-02-11 20:16:38.393,2018-02-14 00:06:16.793,4,1712,1
21,Basel,Sofia,Basel-Sofia,Truck 4,4707,2018-02-11 20:57:38.021,2018-02-14 02:03:26.021,4,1737,5
22,Basel,Sofia,Basel-Sofia,Truck 4,4709,2018-02-11 21:24:29.029,2018-02-13 11:13:59.029,4,1734,613
23,Berlin,Eindhoven Airport,Berlin-Eindhoven Airport,Truck 1,3902,2018-01-25 20:21:59.753,2018-01-26 22:45:42.953,1,648,3
24,Berlin,Eindhoven Airport,Berlin-Eindhoven Airport,Truck 1,3908,2018-01-25 20:54:01.246,2018-01-26 14:16:27.646,1,649,4
25,Berlin,Eindhoven Airport,Berlin-Eindhoven Airport,Truck 4,3914,2018-01-25 21:38:04.921,2018-01-26 18:49:40.921,4,649,2
26,Berlin,Eindhoven Airport,Berlin-Eindhoven Airport,Truck 4,3916,2018-01-25 21:57:49.213,2018-01-26 16:01:03.613,4,650,5
27,Berlin,Kornwestheim,Berlin-Kornwestheim,Truck 3,3700,2018-01-25 18:03:00.080,2018-01-26 14:36:31.280,3,612,4
28,Berlin,Kornwestheim,Berlin-Kornwestheim,Truck 3,3702,2018-01-25 18:14:40.205,2018-01-26 03:35:40.205,3,618,274
29,Berlin,Kornwestheim,Berlin-Kornwestheim,Truck 3,3800,2018-01-25 18:04:21.894,2018-01-26 12:53:09.894,3,612,4
30,Berlin,Luxembourg Airport,Berlin-Luxembourg Airport,Truck 2,3600,2018-01-25 17:52:10.087,2018-01-26 16:38:17.287,2,735,6
31,Berlin,Praha,Berlin-Praha,Truck 2,3900,2018-01-25 20:00:37.473,2018-01-26 02:54:44.673,2,336,1
32,Berlin,Praha,Berlin-Praha,Truck 2,3902,2018-01-25 20:08:58.842,2018-01-26 07:37:49.242,2,349,2
33,Berlin,Praha,Berlin-Praha,Truck 2,3904,2018-01-25 20:16:28.673,2018-01-26 11:40:56.273,2,346,0
34,Berlin,Praha,Berlin-Praha,Truck 2,3906,2018-01-25 20:33:38.174,2018-01-26 03:53:56.174,2,347,2
35,Berlin,Praha,Berlin-Praha,Truck 2,3908,2018-01-25 20:35:42.351,2018-01-26 07:26:27.951,2,347,2
36,Berlin,Praha,Berlin-Praha,Truck 2,3910,2018-01-25 20:42:01.730,2018-01-26 08:43:50.930,2,346,6
37,Berlin,Praha,Berlin-Praha,Truck 2,3912,2018-01-25 20:56:10.708,2018-01-26 09:02:04.708,2,347,3
38,Berlin,Praha,Berlin-Praha,Truck 2,3914,2018-01-25 21:02:53.431,2018-01-26 09:20:00.631,2,348,2
39,Berlin,Praha,Berlin-Praha,Truck 2,3916,2018-01-25 21:07:48.642,2018-01-26 07:51:05.442,2,347,1
40,Berlin,Praha,Berlin-Praha,Truck 2,3918,2018-01-25 21:19:02.058,2018-01-26 13:24:58.458,2,347,1
41,Berlin,Praha,Berlin-Praha,Truck 2,3920,2018-01-25 21:19:21.881,2018-01-26 04:41:42.281,2,348,2
